acc,gyro
4.0151,0.26509
2.13981,0.20499
1.60608,0.25862
1.13329,0.15283
1.60003,0.15961
0.79728,0.14436
1.55497,0.10859
0.95953,0.10205
1.01136,0.05706
1.06525,0.0328
1.10111,0.00947
1.04819,0.02766
1.01129,0.04091
1.02689,0.04826
1.01447,0.05823
1.05182,0.06884
1.10393,0.07382
1.08046,0.07398
1.07126,0.07807
1.11101,0.08625
1.09199,0.08726
1.0713,0.0856
0.98978,0.07279
1.00516,0.07366
0.94623,0.07701
0.89801,0.06056
0.90388,0.04403
0.91472,0.02981
0.90549,0.01991
0.92937,0.01228
0.94432,0.01304
0.96746,0.02206
0.95961,0.02919
0.97883,0.03173
1.00623,0.03273
1.03306,0.04115
1.08119,0.05298
1.08733,0.05736
1.09576,0.07818
1.15698,0.1069
1.18367,0.1267
1.22844,0.14346
1.31372,0.15709
1.33531,0.17667
1.29929,0.18789
1.14179,0.17812
1.18945,0.1478
1.21429,0.14649
1.10323,0.15719
1.14262,0.16751
1.25993,0.1883
1.63477,0.21254
1.64714,0.2716
1.45723,0.30694
1.37257,0.31303
1.33707,0.31514
1.26973,0.31836
1.2059,0.3289
1.09111,0.32347
0.94661,0.32647
0.76227,0.31188
0.65623,0.28219
0.61804,0.2551
0.63068,0.22135
0.54752,0.20907
0.52167,0.22771
0.58824,0.25576
0.57731,0.26886
0.55877,0.29446
0.60859,0.33236
0.61065,0.36267
0.65004,0.39322
0.7172,0.41857
0.78702,0.43876
0.86365,0.44573
0.89311,0.43244
0.93403,0.41355
0.96166,0.39562
0.96836,0.38996
0.99845,0.40012
0.99865,0.39742
2.40885,0.31808
3.63038,0.34977
0.45115,0.16294
1.09937,0.134
1.43688,0.1306
1.36419,0.10691
1.01618,0.07925
0.93205,0.06187
1.03864,0.05364
1.01673,0.03933
1.04952,0.03863
1.03603,0.03496
0.99423,0.02185
1.00656,0.02598
1.03877,0.03761
1.01198,0.04534
1.01294,0.05328
0.99299,0.06221
0.98175,0.07081
0.99084,0.07822
1.0045,0.08149
0.97576,0.08467
0.98653,0.0854
1.00269,0.083
0.9902,0.07458
0.94106,0.06703
0.97165,0.05873
0.99372,0.04943
1.01732,0.03744
0.99646,0.0298
1.02308,0.0191
1.03246,0.01722
1.03907,0.03032
0.97671,0.04002
0.9838,0.04993
1.05849,0.06063
0.99169,0.0614
1.00803,0.0605
1.04431,0.05901
1.06855,0.07096
1.0852,0.08806
1.11637,0.08538
1.1717,0.09058
1.213,0.10146
1.2754,0.11146
1.32157,0.12863
1.40128,0.14427
1.42901,0.17404
1.34553,0.20783
1.26826,0.20528
1.25113,0.17513
1.15654,0.11868
1.20551,0.13204
1.24,0.20324
1.12648,0.32776
1.40347,0.39018
1.55812,0.36973
1.50748,0.35863
