acc,gyro
1.05317,0.42578
1.04422,0.36458
0.99664,0.28554
0.98912,0.21479
0.98764,0.16616
0.9722,0.12277
0.95926,0.07717
0.91609,0.02923
1.37123,0.05744
1.18874,0.13607
1.35377,0.09189
1.07153,0.19983
1.46463,0.16161
1.0915,0.1645
1.01459,0.16955
0.98761,0.16508
1.04859,0.1539
0.99927,0.14907
1.00918,0.13853
1.03423,0.12726
1.03405,0.11607
1.03456,0.10672
1.05439,0.10072
1.05638,0.1002
1.07416,0.09987
1.0676,0.10203
1.02414,0.11018
1.01709,0.11352
1.0197,0.12306
0.97965,0.13596
0.96821,0.1342
0.96276,0.12446
0.96029,0.11473
0.99515,0.10517
0.96907,0.1102
0.96571,0.10876
0.99087,0.10435
1.00016,0.10533
0.99098,0.11203
0.99183,0.11473
0.96012,0.11224
0.97332,0.10176
0.99614,0.08948
1.00428,0.08926
1.03269,0.1178
0.9915,0.1415
1.0098,0.14903
1.00037,0.15213
1.03751,0.15966
1.04206,0.17705
1.11688,0.20048
1.21525,0.22965
1.36343,0.25135
1.25172,0.26946
1.29373,0.28551
1.25573,0.30467
1.16834,0.35617
1.25572,0.43441
1.32457,0.48836
1.38136,0.51039
1.29123,0.52002
1.248,0.49385
1.1045,0.43516
0.95502,0.36397
0.88122,0.4216
0.52309,0.47323
0.64165,0.44121
0.60235,0.38167
0.64238,0.36667
0.72469,0.40984
0.82749,0.45598
0.91654,0.50912
0.98635,0.56802
1.05778,0.62255
1.12169,0.66631
1.21749,0.70972
1.35341,0.7452
1.50428,0.77798
1.66503,0.80452
1.80397,0.81291
1.86527,0.7957
1.76908,0.74652
1.84549,0.61382
1.4426,0.49042
1.52008,0.37585
1.46976,0.21211
1.34768,0.16373
1.47295,0.25229
1.65494,0.27478
1.66491,0.19693
1.58822,0.29549
1.40658,0.33777
1.20494,0.32752
1.03934,0.3294
0.86665,0.3145
0.9105,0.2756
0.95408,0.20756
0.92306,0.18211
1.12733,0.17882
1.20876,0.17441
1.04214,0.18649
1.02093,0.18181
1.03438,0.16961
1.03994,0.15729
1.02925,0.14819
1.06542,0.13817
1.00487,0.12403
0.96852,0.10719
0.96619,0.09399
0.96131,0.08439
0.96398,0.07466
0.99595,0.06731
1.00596,0.06338
1.00298,0.06082
1.01252,0.05971
1.03001,0.0586
1.03248,0.05971
1.01574,0.0634
1.01708,0.06619
1.02293,0.0709
1.06136,0.08065
1.05184,0.09429
1.05048,0.11118
1.0351,0.13344
1.06887,0.15441
1.1522,0.16894
1.2542,0.1795
1.26975,0.19452
1.27259,0.21588
1.26404,0.23721
1.29066,0.2655
1.29558,0.29768
1.27989,0.32451
1.23667,0.34183
1.136,0.34296
